City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Filadelfia,US,2022-10-10 17:04:52,39.9523,-75.1638,69.22,41,0,10.36
147,Bethel,US,2022-10-10 17:04:53,41.3712,-73.414,66.34,53,20,5.75
148,La Carolina,ES,2022-10-10 17:04:53,38.2756,-3.6153,71.53,40,97,2.3
149,Kruisfontein,ZA,2022-10-10 17:04:54,-34.0033,24.7314,68.88,81,100,11.43
150,Shu,KZ,2022-10-10 17:04:54,43.5983,73.7614,51.8,35,0,14.38
151,Laje,BR,2022-10-10 17:04:54,-10.1833,-40.9667,88.02,31,47,14.47
152,Semnan,IR,2022-10-10 17:04:55,35.5729,53.3971,69.51,19,9,2.59
153,Miles City,US,2022-10-10 17:04:55,46.4083,-105.8406,58.17,51,0,4.61
154,Najran,SA,2022-10-10 17:04:56,17.4924,44.1277,75.65,23,4,7.7
155,Tabuk,PH,2022-10-10 17:04:56,17.4189,121.4443,72.88,95,100,4.52
156,Huanta,PE,2022-10-10 17:04:57,-12.9333,-74.25,69.01,40,79,4.09
157,Khatanga,RU,2022-10-10 17:04:57,71.9667,102.5,2.55,98,67,2.62
158,Sept-Iles,CA,2022-10-10 17:04:58,50.2001,-66.3821,45.05,58,75,11.5
159,Noumea,NC,2022-10-10 17:04:58,-22.2763,166.4572,69.78,79,100,11.16
160,Souillac,MU,2022-10-10 17:04:59,-20.5167,57.5167,70.79,71,30,11.01
161,Kirakira,SB,2022-10-10 17:04:59,-10.4544,161.9205,77.45,83,31,1.54
162,Carnarvon,AU,2022-10-10 17:04:59,-24.8667,113.6333,65.23,63,97,21.47
163,Hami,CN,2022-10-10 17:05:00,42.8,93.45,56.64,18,4,13.04
164,Torbay,CA,2022-10-10 17:05:00,47.6666,-52.7314,56.88,57,38,11.99
165,Fairbanks,US,2022-10-10 17:03:53,64.8378,-147.7164,30.22,91,100,6.91
166,Hasaki,JP,2022-10-10 17:05:01,35.7333,140.8333,75.22,77,100,27.76
167,Nikolskoye,RU,2022-10-10 17:05:02,59.7035,30.7861,46.8,87,81,6.11
168,Sungaipenuh,ID,2022-10-10 17:05:03,-2.0833,101.3833,64.49,95,100,0.63
169,Mazara Del Vallo,IT,2022-10-10 17:05:04,37.6641,12.588,71.89,85,0,2.93
170,Tahe,CN,2022-10-10 17:05:05,52.3333,124.7333,29.7,75,8,3.13
171,Jalu,LY,2022-10-10 17:05:06,29.0331,21.5482,77.72,32,0,7.2
172,Fortuna,US,2022-10-10 17:05:06,40.5982,-124.1573,52.14,51,16,4.59
173,Ilabaya,PE,2022-10-10 17:05:07,-17.4208,-70.5133,78.31,22,0,12.73
174,Caribou,US,2022-10-10 17:05:07,46.8606,-68.012,51.03,48,75,10.36
175,Presidencia Roque Saenz Pena,AR,2022-10-10 17:05:08,-26.7852,-60.4388,69.21,25,39,9.6
176,Caucaia,BR,2022-10-10 17:05:09,-3.7361,-38.6531,87.75,62,20,13.8
177,Burnie,AU,2022-10-10 17:05:10,-41.0667,145.9167,45.95,89,63,6.85
178,Vostok,RU,2022-10-10 17:05:11,46.4856,135.8833,45.05,89,100,10.4
179,Vaitape,PF,2022-10-10 17:05:12,-16.5167,-151.75,77.68,76,7,18.07
180,Bay Roberts,CA,2022-10-10 17:04:09,47.5999,-53.2648,57.65,53,36,11.99
181,Gigmoto,PH,2022-10-10 17:02:09,13.7796,124.39,80.04,88,100,7.72
182,Novikovo,RU,2022-10-10 17:05:14,51.1537,37.8879,50.95,93,100,13.29
183,Vagamo,NO,2022-10-10 17:05:15,61.8751,9.0967,40.78,89,100,5.61
184,Halifax,CA,2022-10-10 17:00:58,44.6453,-63.5724,56.44,51,51,4.0
185,Lake Havasu City,US,2022-10-10 17:05:42,34.4839,-114.3224,86.45,33,0,1.99
186,Pontes E Lacerda,BR,2022-10-10 17:06:16,-15.2261,-59.3353,93.24,40,79,3.53
187,Black River,JM,2022-10-10 17:06:16,18.0264,-77.8487,87.91,63,69,11.7
188,Kisangani,CD,2022-10-10 17:06:17,0.5167,25.2,73.56,86,58,1.61
189,Kirishi,RU,2022-10-10 17:06:18,59.4471,32.0205,44.67,84,87,5.95
190,Ouadda,CF,2022-10-10 17:06:19,8.0777,22.4007,69.24,93,63,1.83
191,Okhotsk,RU,2022-10-10 17:06:20,59.3833,143.3,31.35,55,76,4.12
192,Wum,CM,2022-10-10 17:06:20,6.3833,10.0667,67.03,92,76,2.01
193,Chokurdakh,RU,2022-10-10 17:06:20,70.6333,147.9167,19.33,89,90,15.35
194,Qaanaaq,GL,2022-10-10 17:06:21,77.484,-69.3632,9.55,64,4,7.63
195,Juneau,US,2022-10-10 17:02:36,58.3019,-134.4197,48.22,100,100,6.11
196,Roald,NO,2022-10-10 17:06:22,62.5833,6.1333,50.76,81,75,23.02
197,Makat,KZ,2022-10-10 17:06:22,47.6469,53.3463,66.06,24,100,23.4
198,Puerto Escondido,MX,2022-10-10 17:06:23,15.85,-97.0667,86.83,58,40,6.91
199,Gnjilane,XK,2022-10-10 17:06:23,42.4604,21.4699,63.59,58,98,3.42
200,Adeje,ES,2022-10-10 17:06:24,28.1227,-16.726,76.32,76,20,19.57
201,Sorland,NO,2022-10-10 17:06:25,67.667,12.6934,51.66,75,100,28.03
202,Sobolevo,RU,2022-10-10 17:06:26,54.4299,31.8996,42.53,80,0,5.88
203,Guerrero Negro,MX,2022-10-10 17:04:31,27.9769,-114.0611,73.54,74,76,11.32
204,Olafsvik,IS,2022-10-10 17:06:27,64.8945,-23.7142,38.12,61,91,12.39
205,Kharovsk,RU,2022-10-10 17:06:28,59.9642,40.1912,40.86,91,2,6.38
206,Mount Isa,AU,2022-10-10 17:06:28,-20.7333,139.5,69.57,26,6,1.14
207,Bangsund,NO,2022-10-10 17:06:29,64.3968,11.3949,44.51,93,0,3.44
208,Kyra,RU,2022-10-10 17:06:30,49.5776,111.9753,33.71,49,55,3.87
