City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
264,Kadaya,RU,50.9327,119.2911,36.48,46,42,8.93,scattered clouds
265,Garwolin,PL,51.8975,21.6147,49.71,98,100,6.44,overcast clouds
266,Meulaboh,ID,4.1363,96.1285,79.77,83,100,4.32,light rain
267,Lerwick,GB,60.1545,-1.1494,51.8,96,100,15.93,overcast clouds
268,Kaitangata,NZ,-46.2817,169.8464,50.65,55,99,12.35,overcast clouds
269,Morondava,MG,-20.2833,44.2833,74.44,81,0,4.52,clear sky
270,Haines Junction,CA,60.7522,-137.5108,31.95,64,100,11.5,overcast clouds
271,Okhotsk,RU,59.3833,143.3,22.28,45,5,14.07,clear sky
272,Sakassou,CI,7.4546,-5.2926,76.84,96,66,2.8,broken clouds
273,Margate,GB,51.3813,1.3862,62.91,81,55,10.0,broken clouds
274,Esperance,AU,-33.8667,121.9,56.44,80,100,19.73,light rain
275,Cofradia,HN,15.4,-88.15,76.93,99,45,0.16,scattered clouds
276,Neyshabur,IR,36.2133,58.7958,58.17,49,3,1.14,clear sky
277,Hasaki,JP,35.7333,140.8333,55.29,80,100,23.26,light rain
278,Waw,SS,7.7029,27.9953,71.55,82,25,1.63,scattered clouds
279,Upernavik,GL,72.7868,-56.1549,22.23,76,37,6.17,scattered clouds
280,Payo,ID,-3.7508,103.6372,83.16,73,78,2.01,broken clouds
281,Vestmannaeyjar,IS,63.4427,-20.2734,43.86,81,100,22.37,overcast clouds
282,Vera Cruz,BR,-12.6333,-41.0333,72.95,76,99,3.78,overcast clouds
283,Zhanakorgan,KZ,43.9098,67.2495,40.93,58,18,5.88,few clouds
284,Dalbandin,PK,28.8947,64.4101,64.18,19,0,3.53,clear sky
285,Sembe,CG,1.6481,14.5806,70.27,99,100,1.45,overcast clouds
286,Shiyan,CN,32.6475,110.7781,68.41,47,100,4.29,overcast clouds
287,Kushalnagar,IN,12.458,75.959,66.13,81,42,1.7,scattered clouds
288,Hobyo,SO,5.3505,48.5268,78.28,82,92,10.47,overcast clouds
289,Port Lincoln,AU,-34.7333,135.8667,59.94,85,100,14.88,overcast clouds
290,Vila,PT,42.0304,-8.1588,47.7,94,69,5.75,broken clouds
291,Sundargarh,IN,22.1167,84.0333,70.99,68,6,5.66,clear sky
292,Banda Aceh,ID,5.5577,95.3222,82.63,73,98,8.79,overcast clouds
293,Jalu,LY,29.0331,21.5482,61.57,73,0,7.43,clear sky
294,Norman Wells,CA,65.282,-126.8329,24.84,93,100,0.0,light snow
295,Palanpur,IN,24.1667,72.4333,72.46,37,0,4.27,clear sky
296,Kungurtug,RU,50.5994,97.5228,31.44,87,100,5.73,snow
297,Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.01,83,96,10.31,overcast clouds
298,Sterling,US,39.0062,-77.4286,61.56,81,100,9.22,overcast clouds
299,Baculin,PH,7.4525,126.5842,85.39,68,98,2.33,moderate rain
300,Richards Bay,ZA,-28.783,32.0377,70.07,93,100,4.83,overcast clouds
301,Roma,US,43.2128,-75.4557,57.87,61,0,5.75,clear sky
302,Cherskiy,RU,68.75,161.3,11.03,95,97,5.35,overcast clouds
303,Mount Isa,AU,-20.7333,139.5,98.64,18,6,21.0,clear sky
304,Lompoc,US,34.6391,-120.4579,66.78,70,0,18.41,clear sky
305,Panjab,AF,34.388,67.0233,35.58,45,0,3.36,clear sky
306,Maibong,IN,25.3,93.1667,65.48,99,100,3.09,overcast clouds
307,Bairnsdale,AU,-37.8333,147.6167,63.05,88,100,4.0,overcast clouds
308,Nouakchott,MR,18.0858,-15.9785,73.33,79,1,9.6,clear sky
309,Peace River,CA,56.2501,-117.286,32.31,93,75,6.91,broken clouds
310,Abha,SA,18.2164,42.5053,55.65,88,0,0.0,clear sky
311,Nador,MA,35.174,-2.9287,64.65,77,0,3.44,clear sky
312,Tabas,IR,33.5959,56.9244,68.5,29,14,1.66,few clouds
313,Capitao Poco,BR,-1.7464,-47.0594,76.12,81,10,7.36,clear sky
314,Roald,NO,62.5833,6.1333,49.75,87,100,8.05,overcast clouds
315,Kenai,US,60.5544,-151.2583,42.85,52,0,4.61,clear sky
316,Bell Ville,AR,-32.6259,-62.6887,66.67,54,2,7.56,clear sky
317,Beloha,MG,-25.1667,45.05,67.17,91,0,4.81,clear sky
318,Vuktyl,RU,63.8567,57.3094,33.37,97,100,9.55,light snow
319,Souillac,MU,-20.5167,57.5167,70.18,88,75,3.44,light rain
320,Santa Marta De Tormes,ES,40.9506,-5.6272,50.02,98,0,6.91,clear sky
321,Bairiki,KI,1.3292,172.9752,77.0,94,100,17.27,light intensity shower rain
322,Businga,CD,3.3333,20.8833,70.97,99,100,0.94,overcast clouds
323,Udachnyy,RU,66.4167,112.4,28.45,92,100,4.56,snow
324,Vila Velha,BR,-20.3297,-40.2925,73.35,91,75,2.3,broken clouds
325,Xining,CN,36.6167,101.7667,49.06,62,94,0.69,overcast clouds
326,Talnakh,RU,69.4865,88.3972,17.76,96,99,7.54,overcast clouds
327,Maceio,BR,-9.6658,-35.7353,74.64,94,20,3.44,few clouds
328,Ngunguru,NZ,-35.6167,174.5,63.73,58,3,3.65,clear sky
329,Kodiak,US,57.79,-152.4072,47.71,40,0,18.41,clear sky
330,Upata,VE,8.0086,-62.3989,74.19,95,100,4.12,moderate rain
331,Broome,US,42.2506,-75.833,57.42,81,96,1.01,overcast clouds
332,Pombas,CV,17.1503,-25.0201,74.98,77,12,9.95,few clouds
333,Puerto Escondido,MX,15.85,-97.0667,81.43,61,100,5.75,overcast clouds
334,Glencoe,ZA,-28.1783,30.147,58.89,93,100,1.45,overcast clouds
335,Wum,CM,6.3833,10.0667,65.19,94,100,2.39,overcast clouds
336,Pontianak,ID,-0.0333,109.3333,76.98,94,75,4.61,broken clouds
337,Chipinge,ZW,-20.1883,32.6236,60.49,92,18,3.76,few clouds
338,Grindavik,IS,63.8424,-22.4338,43.27,81,75,17.27,light rain
339,Miri,MY,4.4148,114.0089,80.74,83,40,4.61,scattered clouds
340,Mareeba,AU,-17.0,145.4333,93.43,50,0,5.44,clear sky
341,Melilla,ES,35.2937,-2.9383,64.78,77,0,3.44,clear sky
342,Port Hueneme,US,34.1478,-119.1951,67.26,72,0,9.22,clear sky
343,Singapore,SG,1.2897,103.8501,78.84,94,75,2.3,moderate rain
344,Del Rio,US,29.3627,-100.8968,75.31,77,0,6.91,clear sky
345,Salisbury,GB,51.0693,-1.7957,55.69,94,100,14.97,overcast clouds
346,Peleduy,RU,59.6289,112.7406,43.66,76,100,18.41,overcast clouds
347,Faya,SA,18.3851,42.4509,55.92,70,0,1.59,clear sky
348,Luba,GQ,3.4568,8.5547,76.89,84,100,0.87,overcast clouds
349,Naze,JP,28.3667,129.4833,72.52,60,12,19.93,few clouds
